Date,Open,High,Low,close_x,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,value,classification
2024-09-03,4.475,4.558,4.033,4.052,2656673.74,11387986.69818,86286.0,1299141.57,5579496.48619,2656673.74,-58390.60000000009,4.054,36.66005103487383,2.872366268806581,314.851,26.0,Fear
2024-09-04,4.054,4.375,3.869,4.155,5013711.63,20831643.8147,145252.0,2517114.04,10468852.50945,5013711.63,20516.450000000186,4.155,35.582468281430224,2.872366268806581,314.851,27.0,Fear
2024-09-05,4.156,4.213,3.985,4.044,3596618.48,14706370.69656,111954.0,1687338.06,6898977.53039,3596618.48,-221942.35999999987,4.044,32.22543352601156,2.872366268806581,314.851,29.0,Fear
2024-09-06,4.044,4.198,3.722,3.909,5182547.97,20665592.97111,214802.0,2492934.7,9933843.46748,5182547.97,-196678.56999999937,3.91,15.651582170806392,2.872366268806581,314.851,22.0,Extreme Fear
2024-09-07,3.909,4.031,3.865,3.946,2026258.98,7994693.90192,114428.0,996610.19,3932828.2095,2026258.98,-33038.60000000009,3.946,13.200280112044823,2.872366268806581,314.851,23.0,Extreme Fear
2024-09-08,3.946,4.104,3.904,4.064,2436380.12,9758398.58879,132530.0,1173211.41,4700171.58752,2436380.12,-89957.30000000028,4.063,18.862161130202352,2.872366268806581,314.851,29.0,Fear
2024-09-09,4.065,4.375,4.058,4.26,4762926.81,19925030.25672,212576.0,2503915.2,10473316.6901,4762926.81,244903.59000000078,4.259,27.240426371891047,2.872366268806581,314.851,26.0,Fear
2024-09-10,4.26,4.288,4.107,4.232,3316545.43,13912881.18471,134011.0,1616709.72,6783800.41332,3316545.43,-83125.99000000022,4.232,31.92966219342898,2.872366268806581,314.851,33.0,Fear
2024-09-11,4.233,4.248,3.883,4.112,4464122.13,18044836.9201,181402.0,1999157.43,8070577.82812,4464122.13,-465807.27000000025,4.112,33.72434017595309,2.872366268806581,314.851,37.0,Fear
2024-09-12,4.113,4.335,4.096,4.241,4457007.61,18888777.0376,186084.0,2292425.47,9718127.39653,4457007.61,127843.33000000007,4.241,40.86826347305388,2.872366268806581,314.851,31.0,Fear
2024-09-13,4.24,4.593,4.068,4.504,4660348.62,20056776.59414,186341.0,2378286.9,10254857.39,4660348.62,96225.1799999997,4.502,49.746660525103636,2.872366268806581,314.851,32.0,Fear
2024-09-14,4.504,4.693,4.315,4.654,6205923.4,27878586.4356,220925.0,3141263.81,14113822.31361,6205923.4,76604.21999999974,4.654,53.63517631693512,2.872366268806581,314.851,50.0,Neutral
2024-09-15,4.654,5.12,4.608,4.8,8786532.06,43049936.18456,368472.0,4562163.06,22368573.64735,8786532.06,337794.05999999866,4.799,62.90543627227045,2.872366268806581,314.851,51.0,Greed
2024-09-16,4.798,4.811,4.478,4.536,4627627.92,21394620.93589,184422.0,2041578.91,9434446.53115,4627627.92,-544470.0999999999,4.535,51.37821961138725,2.872366268806581,314.851,39.0,Fear
2024-09-17,4.535,5.291,4.522,5.227,8742010.32,44273540.43914,355322.0,4480523.11,22671899.02288,8742010.32,219035.90000000037,5.226,73.59098228663444,2.872366268806581,314.851,33.0,Fear
2024-09-18,5.227,5.471,4.999,5.404,9607232.88,50450302.49432,332220.0,4815208.12,25324027.09344,9607232.88,23183.359999999404,5.404,74.38500585708707,2.872366268806581,314.851,45.0,Fear
2024-09-19,5.404,6.498,5.323,5.948,14259878.3,86039536.06988,472331.0,7409636.94,44714099.56238,14259878.3,559395.5800000001,5.947,81.79084530571333,2.872366268806581,314.851,49.0,Fear
2024-09-20,5.947,6.261,5.758,6.005,8002270.95,47859477.73673,356001.0,4062175.86,24311581.33611,8002270.95,122080.76999999955,6.005,85.91018169352073,2.872366268806581,314.851,54.0,Greed
2024-09-21,6.005,6.14,5.748,6.014,5059489.78,29888595.22378,216033.0,2404418.26,14212376.96662,5059489.78,-250653.2600000007,6.013,85.7736240913811,2.872366268806581,314.851,54.0,Greed
2024-09-22,6.014,6.034,5.194,5.354,8095433.82,44529073.80713,336292.0,3905265.95,21482484.4916,8095433.82,-284901.9199999999,5.356,68.85389326334207,2.872366268806581,314.851,52.0,Greed
2024-09-23,5.354,6.777,5.241,6.649,14108491.32,82870439.25549,526348.0,7304653.64,43026926.35084,14108491.32,500815.95999999903,6.648,76.3977900552486,2.872366268806581,314.851,50.0,Neutral
2024-09-24,6.648,6.91,6.03,6.414,13276536.04,84106875.20947,512042.0,6351454.19,40286829.52082,13276536.04,-573627.6599999983,6.416,73.08668076109937,2.872366268806581,314.851,54.0,Greed
2024-09-25,6.412,6.85,6.116,6.157,6818399.02,43838023.44234,311881.0,3368602.5,21683855.82375,6818399.02,-81194.01999999955,6.158,71.01479046836484,2.872366268806581,314.851,59.0,Greed
2024-09-26,6.157,6.498,6.08,6.268,7531795.1,47318748.91614,300956.0,3770412.9,23689390.22927,7531795.1,9030.700000000186,6.271,70.919208573784,2.872366268806581,314.851,50.0,Neutral
2024-09-27,6.268,6.599,6.166,6.383,8082634.19,51809528.05919,372404.0,4080195.5,26174164.8994,8082634.19,77756.80999999959,6.384,70.00425170068029,2.872366268806581,314.851,61.0,Greed
2024-09-28,6.383,6.443,5.735,5.988,6061472.67,37148141.15543,304107.0,2854230.83,17468758.02337,6061472.67,-353011.0099999998,5.988,63.48019401778497,2.872366268806581,314.851,64.0,Greed
